id,score,category,text
1019,5,positive,"['produk', 'segar', 'kualitas', 'harga', 'jangkau', 'kirim', 'cepat', 'plus', 'free', 'ongkir', 'sukses', 'segar']"
1020,4,positive,"['bantu', 'sulit', 'pergi', 'pasar', 'tinggal', 'klik', 'besok', 'fresh']"
1021,4,positive,"['bagus', 'perhati', 'untuk', 'buah', 'fresh']"
1022,5,positive,['amanah']
1023,5,positive,"['senang', 'banget', 'sekarang', 'aplikasi', 'belanja', 'sayur', 'murah', 'produk', 'juga', 'kualitas']"
1024,5,positive,"['bagus', 'mudah']"
1025,5,positive,"['bagus', 'bagus', 'produk', 'cepat', 'pengirimanya', 'trimksh']"
1026,5,positive,"['barang', 'bagus', 'fresh']"
1027,5,positive,"['segar', 'mantap']"
1028,5,positive,"['belanja', 'alhamdulillah', 'puas']"
1029,5,positive,"['belanjapacking', 'aman', 'produk', 'hewanisegarexp', 'date', 'dll', 'masih', 'jauhdipertahankan', 'kualitas', 'barang', 'over', 'all', 'good']"
1030,5,positive,"['puas', 'belanja', 'segar', 'buah', 'fressayur', 'mayur', 'segar', 'hemat', 'waktuhemat', 'biaya']"
1031,3,neutral,['baik']
1032,5,positive,[]
1033,5,positive,['good']
1034,5,positive,"['puas', 'banget', 'kirim', 'cepat']"
1035,5,positive,"['senang', 'belanja', 'segar', 'banyak', 'disc', 'garansi', 'sukses', 'selalu', 'segar', 'good', 'job']"
1036,5,positive,"['bagus', 'cepat', 'dan', 'packing', 'aman', 'rapi', 'top', 'bangetrecomen', 'best', 'seller']"
1037,2,negative,"['kali', 'belanja', 'telur', 'etalase', 'refund', 'alas', 'telur', 'kosong', 'order', 'maklum', 'maklum', 'tiga', 'refund', 'heran', 'jual', 'bagaimana', 'jual', 'cantum', 'orang', 'beli', 'telur', 'butuh', 'simpan', 'bayar', 'hari', 'antar', 'barang']"
1038,3,neutral,"['tingkat', 'sistem']"
1039,5,positive,"['puas', 'belanja', 'online', 'barang', 'fresh', 'diskon', 'free', 'ongkir']"
1040,5,positive,"['alhamdulillah', 'dapat', 'harga', 'promo', 'murah riah', 'layan', 'cs', 'muas', 'terima kasih']"
1041,5,positive,"['ok', 'banget']"
1042,5,positive,"['fresh', 'murahh']"
1043,5,positive,"['sangaaat', 'puaaas', 'pesan', 'buaah', 'daging', 'asli', 'benar', 'fresh', 'layan', 'cepat', 'ramah', 'sopan']"
1044,5,positive,"['segar', 'bantu', 'bahan', 'makan', 'fresh', 'buah', 'buah', 'fresh', 'butuh', 'dapur', 'lengkap', 'rumah', 'tinggal', 'klik', 'klik', 'belanja', 'terimakasih', 'segar']"
1045,5,positive,"['barang', 'segar', 'bagus']"
1046,5,positive,"['kemas', 'rapi']"
1047,1,negative,"['tolong', 'baik', 'sistem', 'belanja', 'belanja', 'barang', 'bagi', 'memang', 'tolong', 'ada', 'promo', 'pakai', 'ini', 'stock', 'sisa', 'refund', 'ganti', 'barang', 'biasa', 'deh']"
1048,1,negative,"['segar', 'bisa', 'refundkecewa', 'berat', 'bareng', 'kosong', 'tdkkonfirmasi', 'refund', 'cs', 'kecewa', 'bagus', 'pindah', 'aplikasi']"
1049,1,negative,"['beberapa', 'kali', 'beli', 'barang', 'promo', 'dikurangidicancel', 'beli', 'tarik', 'promo', 'sebut', 'confirmnya', 'pas', 'kirim']"
1050,5,positive,"['mudah', 'berbelanjabarangnya', 'kualitas', 'bagussuka', 'belanja', 'segar']"
1051,5,positive,['kirim']
1052,5,positive,"['cepat', 'sampenya', 'ribet', 'tinggal', 'tunggu', 'jam', 'belanja', 'langsung', 'terima', 'kasih', 'segar', 'sukses', 'promo', 'depan']"
1053,5,positive,"['bagus', 'segar', 'sayuranya']"
1054,4,positive,"['belanja', 'segar', 'kali', 'refund', 'kali', 'barang', 'bayar', 'penuh', 'padahal', 'bayar', 'codkurir', 'erti', 'karena', 'tugas', 'mengantarpas', 'cek', 'telur', 'promo', 'kirim', 'sudah', 'bayar', 'full', 'sesuai', 'invoice', 'haduuhh', 'cod', 'mudahtinggal', 'kurang', 'invoice', 'nyasebaiknya', 'sistem', 'baik', 'teliti', 'packing', 'promo', 'bagi']"
1055,5,positive,"['senang', 'belanja', 'sampenya', 'pagipagi', 'malas', 'kupas', 'potong', 'iris', 'belanja', 'gampang']"
1056,5,positive,"['senang', 'belanja', 'segaribarangnya', 'masih', 'freshmasak', 'ribet', 'karena', 'resep', 'jugadan', 'seru', 'promonyaterima', 'kasih', 'segar']"
1057,5,positive,"['puas', 'belanja', 'hari', 'segar', 'bagus', 'sayur']"
1058,5,positive,"['layan', 'prima']"
1059,5,positive,"['alhamdulillah', 'puas', 'belanja', 'segaribarang', 'bagus', 'segarterbantu', 'pokok']"
1060,5,positive,"['belanja', 'supermarket', 'buah', 'kemas', 'perhati', 'layan', 'ramahharga', 'murah', 'recomend', 'banget', 'jadi', 'langgan']"
1061,1,negative,"['kecewa', 'banget', 'belanja', 'sudah', 'kecewa', 'telur', 'butuh', 'etalase', 'sedia', 'pas', 'kirim', 'kabarin', 'paket', 'pisang', 'mentah', 'kirim', 'ayam', 'standar', 'timbang', 'tera', 'kecawa', 'banget', 'mending', 'belanja', 'pasar', 'tradisional', 'tipu', 'mah']"
1062,5,positive,"['barang', 'fresh', 'packingnya', 'ok', 'kirim']"
1063,5,positive,"['sayur', 'segar', 'terimakasih', 'segar']"
1064,5,positive,"['kirim', 'bareng', 'bareng', 'bagus']"
1065,5,positive,"['mudah', 'praktis']"
1066,5,positive,"['barang', 'always', 'fresh', 'kecewa']"
1067,5,positive,"['promo', 'kwalitasnya', 'layan', 'juga', 'bantu']"
1068,2,negative,"['ok', 'barang']"
1069,5,positive,"['puas', 'barang', 'kirim', 'fresssukses', 'selalu', 'segar']"
1070,5,positive,"['layan', 'dan', 'cepat', 'barang', 'kualitas', 'moga', 'maju', 'dan', 'sukses', 'kembang']"
1071,5,positive,"['sudah', 'kali', 'belanja', 'segar', 'selalu', 'puas', 'sayur', 'segar', 'pesan', 'sore', 'pagi']"
1072,5,positive,['mantab']
1073,5,positive,"['buah', 'sayur', 'benar', 'pilih', 'bagustp', 'kecewa', 'barang', 'beli', 'kosong', 'kembali', 'vocer', 'harus', 'refund', 'ovo']"
1074,5,positive,[]
1075,5,positive,"['barang', 'bagus']"
1076,5,positive,"['belanja', 'sudah', 'puas', 'banget', 'pengirimanya', 'cepat', 'sayur', 'bagus', 'terima kasih', 'segar', 'moga', 'sukses']"
1077,5,positive,"['cabe', 'jamur', 'segar']"
1078,5,positive,"['moga', 'harga', 'minim', 'pasar', 'senang', 'belanja', 'online']"
1079,5,positive,"['simpel', 'produk', 'segar']"
1080,5,positive,['muas']
1081,4,positive,"['promo', 'potong', 'harga', 'orang', 'voucher', 'begitu', 'diskon', 'harga']"
1082,5,positive,"['keren', 'bagus', 'pokok', 'belanja', 'dan', 'murah']"
1083,5,positive,"['sayur', 'segar', 'mutu', 'jaga', 'peking', 'bagus']"
1084,4,positive,"['hanya', 'sedikit', 'busuk', 'syur', 'over', 'all', 'ok']"
1085,5,positive,"['barang', 'bagus', 'sesuai', 'fresh']"
1086,5,positive,"['senang', 'belanja', 'segar', 'kirim', 'cepat', 'gratis', 'ongkir', 'gratis', 'minyak', 'goreng', 'dapat', 'apel', 'harga', 'murah']"
1087,5,positive,"['kirim', 'cepat', 'ayamsayurannya', 'fresh', 'semua']"
1088,1,negative,"['tolong', 'segar', 'gaji', 'kurir', 'turunin', 'iya', 'nganter', 'box', 'ribu', 'absen', 'ribu']"
1089,3,neutral,"['efesiensi', 'efektifitas', 'simpel', 'hebat', 'terus', 'kerja']"
1090,5,positive,"['sayur', 'bagus', 'segar', 'banget', 'puas', 'belanja', 'pilih', 'deh', 'pokok', 'terima', 'kasih']"
1091,1,negative,"['belanja', 'sudah', 'kecewa', 'pakai', 'promo', 'enggak', 'bisa', 'kita', 'promo', 'sudah', 'pernah', 'pakai', 'sama', 'alamat', 'rumah', 'ku', 'aku', 'saja', 'install', 'pesan', 'batal', 'dana', 'refund', 'lagi', 'mau', 'belanja', 'pakai', 'promo', 'mau', 'cekot', 'baca', 'ubah', 'harga', 'dari', 'ribu', 'ribu', 'memang', 'anjing', 'ini', 'aplikasi', 'kesel', 'nambahin', 'dosa', 'orang', 'saja', 'belanja', 'tanihub', 'tanihub', 'sudah', 'enggak', 'coba', 'pakai', 'segar', 'anjing', 'banget', 'kesel', 'aing', 'bad']"
1092,3,neutral,"['wilayah', 'jawa', 'barat', 'bandung', 'ya']"
1093,3,neutral,"['cepat', 'kirim', 'kualitas']"
1094,5,positive,"['barang', 'barang', 'segar', 'bagus', 'emas', 'rapi', 'harga', 'murah', 'diskon', 'cashback', 'lumayan', 'oke']"
1095,5,positive,"['ok', 'banget', 'bantu']"
1096,5,positive,"['amanah', 'sekaliklo', 'kendala', 'respon']"
1097,5,positive,"['produk', 'kali']"
1098,5,positive,"['alhamdulillah', 'kali', 'belanja', 'segar', 'kasih', 'free', 'paket', 'ayam', 'kampung', 'syukron', 'jazakallah', 'segar', 'moga', 'depan', 'tambah', 'maju', 'berkah', 'usaha']"
1099,5,positive,"['sumpah', 'recomended', 'banget', 'pasar', 'tangisin', 'anak', 'coba', 'deh', 'download', 'segar', 'sangaattt', 'bantu', 'love', 'itu']"
1100,5,positive,"['masyaallah', 'belanja', 'gari', 'bagus', 'kualitas', 'harga', 'jangkau']"
1101,5,positive,"['respon', 'cepat', 'kirim', 'cepat', 'kualitas', 'bareng', 'bestt', 'tahan', 'kualitas', 'dan', 'layan']"
1102,4,positive,"['cepat', 'datang', 'segar', 'benar', 'lengkap']"
1103,5,positive,"['puas', 'belanja', 'segar']"
1104,5,positive,"['suka', 'bantu']"
1105,5,positive,"['barang', 'pesan', 'segar', 'bagus']"
1106,5,positive,"['oke', 'promo']"
1107,5,positive,"['puas', 'produk', 'fresh', 'packing', 'rapi', 'kirim', 'cepat', 'pesan', 'pagi', 'besok', 'pagi', 'terima', 'range', 'jam', 'pagi', 'jam', 'pagi', 'tuju']"
1108,5,positive,"['diskon', 'segar', 'barang', 'sesuai', 'ganti', 'voucher', 'belanja', 'suka', 'banget', 'belanja', 'segar']"
1109,5,positive,"['packing', 'rapihsayurnya', 'segar']"
1110,5,positive,"['kecewa', 'massa', 'samperin', 'kurir', 'alas', 'bawa', 'barang', 'banyak']"
1111,5,positive,"['barang', 'fresh', 'kurir', 'juga', 'pagi', 'dtgramah']"
1112,5,positive,['cepat']
1113,5,positive,"['bagus', 'bantu']"
1114,5,positive,"['moga', 'istikamah']"
1115,5,positive,"['keren', 'diskon', 'gratis', 'ongkir']"
1116,5,positive,['cepat']
1117,5,positive,"['biah', 'sayur', 'segar', 'harga', 'sesuai', 'kirim', 'cepat']"
1118,4,positive,"['bantu', 'lengkap', 'menu', 'tambah', 'bawang', 'merah', 'kupas', 'ragu', 'sama', 'halal']"
1119,5,positive,"['promo', 'besar']"
1120,5,positive,"['packing', 'rapisayuran', 'segar', 'kirim', 'cepat']"
1121,5,positive,"['alhamdulilah', 'kirim', 'pagi', 'packingan', 'rapi', 'barang', 'bagus', 'fresh']"
1122,4,positive,"['bagussangat', 'bantu']"
1123,5,positive,"['belanja', 'sayur', 'daging', 'buah', 'dkk', 'lebih', 'praktisutk', 'produk', 'fresh', 'promo', 'kirim', 'cepat', 'mantap', 'deh']"
1124,5,positive,"['kirim', 'cepat', 'bantu', 'kalau', 'malas', 'beli', 'sayur', 'produk', 'bagus', 'kurir', 'ramahsemoga', 'selalu', 'amanah', 'sukses', 'selalu']"
1125,5,positive,"['sayur', 'segar', 'buah', 'bagus', 'segar', 'segar']"
1126,5,positive,"['aman', 'nyaman', 'belanja', 'hari', 'barang', 'rusak', 'langsung', 'ganti', 'dong', 'mantul', 'promo', 'cashback', 'moga', 'tarik', 'promo', 'terima kasih']"
1127,5,positive,"['prtama', 'kali', 'belanja', 'kirim', 'cepat', 'banget', 'mudh', 'an', 'lanjut']"
1128,5,positive,['bagus']
1129,5,positive,"['bagus', 'disko']"
1130,5,positive,"['puas', 'sekalidan', 'bantu', 'perlu', 'dapur', 'segar', 'muas']"
1131,5,positive,"['segar', 'cocok', 'sempat', 'kepasarditunggu', 'promo']"
1132,5,positive,"['sayur', 'buah', 'segar', 'layu']"
1133,5,positive,"['butuh', 'penuh', 'mudah', 'murah', 'riah', 'promonya', 'terima kasih', 'segar']"
1134,5,positive,"['alhamdulillah', 'pesan', 'buahya', 'bagus', 'segar', 'banget', 'kirim', 'terimakasih']"
1135,4,positive,"['sayang', 'banget', 'cod', 'padahly', 'lihat', 'barang', 'murah', 'paksa', 'uninstall', 'terimakasih']"
1136,5,positive,"['mudah', 'belanja', 'mskipun', 'barang', 'habis', 'stok', 'tunggu', 'bantu', 'barang', 'cepat', 'kilat']"
1137,5,positive,"['puas', 'blnj', 'segar', 'barang', 'bagus', 'dapat', 'harga', 'murah', 'bantu', 'mls', 'blnj', 'psr']"
1138,5,positive,"['barang', 'sayur', 'pesan', 'segar', 'tahan', 'segar', 'segar']"
1139,5,positive,"['kirim', 'cepatyg', 'pesan', 'segar', 'top', 'deh', 'segar']"
1140,5,positive,"['puas', 'cepat', 'dtgnya']"
1141,5,positive,['good']
1142,5,positive,"['ok', 'banget', 'enggak', 'kecewa', 'belanja', 'sini']"
1143,5,positive,"['alhamdulillah', 'senang', 'belanja', 'segar', 'sayur', 'segar', 'segar', 'bagus', 'bagus', 'suka', 'lihat']"
1144,5,positive,"['good', 'job']"
1145,5,positive,"['cepat', 'kirim', 'masih', 'fresh', 'banget', 'pkkoknya', 'enggak', 'sesal']"
1146,5,positive,"['barang', 'kirim', 'bagusjd', 'senang', 'belanjanysemoga', 'acara', 'diskonny']"
1147,5,positive,"['terima', 'kasih', 'banyk', 'sangat', 'bantu', 'sekli']"
1148,1,negative,"['bogor', 'belum']"
1149,1,negative,"['saya', 'pesan', 'nominal', 'ribu', 'tapi', 'sama', 'kurir', 'tagih', 'ribu', 'inovice', 'saya', 'bukan', 'saja', 'order', 'segar', 'tapi', 'baru', 'kasih', 'inovice']"
1150,5,positive,"['barang', 'bagus']"
1151,5,positive,['mantap']
1152,4,positive,['baguspertshanakan']
1153,5,positive,"['barang', 'oke', 'kemas', 'rapi', 'kirim', 'cepat', 'promo']"
1154,5,positive,"['kirim', 'cepat', 'sesuai']"
1155,5,positive,"['produk', 'fresh', 'harga', 'mumer', 'terima', 'kasih']"
1156,3,neutral,"['kota', 'madya', 'bogor']"
1157,1,negative,"['tolong', 'cepat', 'kembali', 'dana', 'belum', 'kembali']"
1158,5,positive,"['belanja', 'butuh', 'banyak', 'tinggal', 'klik']"
1159,5,positive,"['kirim', 'cepat', 'barang', 'pesan', 'sesuai', 'mantap']"
1160,5,positive,"['bantu', 'malas', 'keluar', 'rumah']"
1161,5,positive,"['ok', 'banget']"
1162,5,positive,"['rekomendasi', 'produk', 'segar', 'bantu', 'bagi', 'pasar']"
1163,5,positive,"['aplikasi', 'bantu']"
1164,5,positive,"['barang', 'bagus', 'murah']"
1165,5,positive,"['alhamdulillah', 'produk', 'segar', 'bagus', 'pres']"
1166,5,positive,"['puas', 'deh', 'sayur', 'segar']"
1167,5,positive,"['kualitas', 'produk', 'bagus', 'packing', 'bersih', 'rapi', 'kirim', 'ok']"
1168,5,positive,"['kali', 'belanja', 'segaribarang', 'bagus', 'fresh']"
1169,1,negative,"['cod', 'gratis', 'ongkir', 'maksimum', 'belanja', 'ribu', 'belanja', 'toko', 'belah', 'belanja', 'ribet']"
1170,5,positive,['good']
1171,4,positive,"['bintang', 'karena', 'order', 'kali', 'produk', 'kecewa', 'trgantikan', 'free', 'minyak', 'goreng', 'bahan', 'makan', 'segar', 'belanja', 'lagi', 'kayak', 'begini', 'thanks', 'segar']"
1172,5,positive,['top']
1173,5,positive,"['warung', 'pasar', 'supermarket', 'harga', 'jangkau', 'kondisi', 'sayur', 'buah', 'ikan', 'ayam', 'bagus', 'kualitas', 'produk']"
1174,5,positive,"['puas', 'sekali', 'belanja', 'gari', 'kirim', 'cepatt', 'kurir', 'ramah', 'packing', 'rapi', 'harga', 'jangkau']"
1175,1,negative,"['aplikasi', 'buruk', 'asih', 'free', 'usah', 'pakai', 'ribu', 'alesan', 'sesal', 'download', 'belanja', 'disinj', 'tipu']"
1176,4,positive,"['barang', 'lengkap', 'tolong', 'lengkapin', 'brgnya', 'baja', 'mudah', 'barang']"
1177,5,positive,"['bagus', 'barang', 'segar', 'kok']"
1178,5,positive,['ok']
1179,5,positive,['keren']
1180,5,positive,"['bantu', 'belanja', 'sayur', 'online', 'promo', 'harga', 'murah', 'barang', 'bagus', 'tingkat', 'segar', 'makim', 'sukses']"
1181,5,positive,"['alhamdulillah', 'sayur', 'mantap']"
1182,5,positive,"['mudah', 'cepat']"
1183,4,positive,"['bahan', 'segar', 'iya', 'segar']"
1184,5,positive,"['mudah', 'perlu', 'seharihari']"
1185,5,positive,"['mantap', 'belanja', 'gari']"
1186,5,positive,"['mantap', 'bro', 'kualitas', 'barang', 'oke', 'kirim', 'jempol', 'puasss']"
1187,1,negative,"['uninstall', 'kali', 'belanja', 'checkout', 'stok', 'sedia', 'belanja']"
1188,5,positive,"['susah', 'cari', 'barang', 'minimarket', 'eeh', 'segar', 'kwalotas', 'bagus', 'enggak', 'kalah', 'barang', 'mini', 'market', 'sangar', 'bantu', 'harga', 'lebih', 'hemat', 'terima kasih', 'kurir', 'juga', 'ramah']"
1189,5,positive,['nice']
1190,5,positive,"['kirim', 'cepat', 'packing', 'rapi', 'banget', 'super', 'aman', 'barang', 'fresh', 'oke', 'free', 'ongkirnya', 'tahan', 'emak', 'suka', 'wkwkwkw']"
1191,5,positive,"['moga', 'barang', 'bagus']"
1192,5,positive,[]
1193,5,positive,"['belanja', 'mudah', 'murah', 'cari', 'rumah', 'tinggal', 'pesan', 'bayar', 'beres']"
1194,5,positive,"['sayur', 'ikan', 'segar']"
1195,5,positive,"['puas', 'belanja', 'kondisi', 'segar', 'but', 'tolong', 'luas', 'area', 'jngkauannya', 'sampai', 'kab', 'bekas']"
1196,5,positive,"['oke', 'produk', 'kualitas', 'produk', 'sesuai', 'progress', 'complain', 'jalan', 'cepat', 'suka', 'layan', 'moga', 'tahan', 'layan']"
1197,5,positive,"['solusi', 'saat', 'situasi']"
1198,5,positive,['good']
1199,5,positive,"['memuaskandan', 'antar', 'suami']"
1200,4,positive,['cepat']
1201,5,positive,"['barang', 'bagus', 'kirim', 'cepat', 'pokok', 'sip', 'deh']"
1202,5,positive,"['daging', 'fresh']"
1203,5,positive,"['suka', 'banget', 'aplikasi']"
1204,5,positive,"['buah', 'segar', 'bagus', 'sayang', 'aplikasi', 'enggak bisa', 'buka', 'internet', 'kencang', 'tulis', 'koneksi', 'coba', 'lagi']"
1205,5,positive,['mantap']
1206,2,negative,"['lacak', 'order', 'error']"
1207,5,positive,"['puas', 'belanja']"
1208,5,positive,['ok']
1209,2,negative,"['coba', 'dulu', 'deh', 'kalau', 'bagus', 'entar', 'lagi', 'bintang', 'komen', 'bintang', 'pada', 'jelek', 'iya', 'saya', 'lihat', 'saja', 'dulu', 'benar', 'enggak', 'sama', 'nyata', 'kalau', 'enggak', 'benar', 'saya', 'lagi', 'bintang', 'tapi', 'kalau', 'benar']"
1210,5,positive,"['aplikasi', 'bantu', 'rumah', 'barang', 'sudah', 'gratis', 'ongkir', 'promo', 'enggak', 'sesal', 'pesan', 'segar']"
1211,5,positive,"['keren', 'pres']"
1212,5,positive,"['puas', 'layan', 'juga', 'cepat']"
1213,5,positive,"['barang', 'frees']"
1214,5,positive,['oke']
1215,5,positive,"['suka', 'banget', 'belanja', 'ribet', 'banget', 'barang', 'kualitas', 'sukses', 'segar']"
1216,5,positive,['fresh']
1217,5,positive,"['buah', 'fresh', 'sayur', 'cepat', 'sampai', 'sesuai', 'estimasi', 'pengirimanbuat', 'sibuk', 'sempat', 'belanja', 'pasar', 'banget', 'belanja']"
1218,5,positive,"['bagus', 'banget', 'layan', 'belanja', 'segar']"
1219,1,negative,"['referral', 'cairin', 'sudah', 'komplen', 'admin', 'ig', 'wa', 'kode', 'kapai', 'ada', 'promo', 'referral', 'gunain']"
1220,5,positive,"['puas', 'pokok']"
1221,5,positive,"['worth', 'ittp', 'bisa', 'lebih', 'banyak', 'lagi', 'supplier', 'lebih', 'banyak', 'varian', 'item']"
1222,5,positive,"['malas', 'rumah', 'antri', 'kayak', 'belanja', 'segar', 'ajagratis', 'ongkir', 'packingnya', 'aman']"
1223,5,positive,['bagus']
1224,5,positive,"['packing', 'rapi']"
1225,5,positive,"['oke', 'banget']"
1226,5,positive,"['bagus', 'bagus', 'kualitas']"
1227,4,positive,"['harga', 'karena', 'lebaran', 'mahal']"
1228,5,positive,"['bagus', 'segar', 'sayang', 'kemarin', 'beli', 'terlur', 'pecah', 'deh', 'puas', 'ok', 'belanja', 'segar']"
1229,5,positive,"['sangat', 'bantu', 'sekalisehari', 'langsung']"
1230,5,positive,"['kecewa', 'karena', 'capai', 'customer', 'bonus', 'langsung', 'trf', 'omset', 'tambah', 'capai', 'omset', 'juta', 'bonus', 'grill', 'kapan', 'kirim', 'kabar']"
1231,5,positive,"['praktis', 'antar', 'langsung', 'rumah']"
1232,5,positive,"['senang', 'banget', 'puas', 'layan', 'moga', 'amanah', 'profesional']"
1233,5,positive,"['barang', 'bagus', 'kirim', 'cepat']"
1234,5,positive,"['puas', 'belanja', 'segar', 'barang', 'fresh', 'layan', 'ok']"
1235,3,neutral,"['bagus', 'sayang', 'kirim', 'lamapesen', 'hari', 'barang', 'kirim', 'kmudian']"
1236,5,positive,['good']
1237,5,positive,['bagus']
1238,5,positive,"['respon', 'cs', 'cepat', 'kirim', 'cepat', 'jam', 'darat']"
1239,5,positive,"['top', 'harga', 'top', 'kirim']"
1240,5,positive,"['puas', 'belanja', 'gari', 'suka', 'cod']"
1241,1,negative,"['sunguh', 'sangatt', 'sayangankn', 'aplikasi', 'bagus', 'tapi', 'set', 'bayar', 'pesan', 'barang', 'ingginkan', 'barang', 'kosonghabits', 'tapi', 'kata', 'pesan', 'lagi', 'habis', 'kan', 'aneh', 'iya', 'kaya', 'lawak', 'set', 'bayar', 'refund', 'voucher', 'ganti', 'barang', 'sangatt', 'sangatt', 'sayangankan', 'kerja', 'pada', 'personal']"
1242,5,positive,"['puas', 'banget', 'banget', 'bangeeeeeet', 'layan', 'segar', 'ontime', 'banget', 'sampenyaterus', 'produk', 'belanjaanya', 'segar', 'bgtharga', 'worthit', 'bangetpengemasan', 'aman', 'bgtaku', 'order', 'frozen', 'food', 'benar', 'beku', 'kasih', 'ice', 'pack', 'first', 'time', 'coba', 'order', 'sia', 'kasih', 'terimakasih', 'banyaksukses', 'segar']"
1243,3,neutral,"['kecewa', 'pagi', 'pesan', 'parkcoy', 'pesan', 'adaini', 'kali', 'belanja']"
1244,5,positive,['puas']
1245,5,positive,"['abang', 'ku', 'kerja', 'situ']"
1246,5,positive,"['recomended', 'banget', 'emak', 'emak', 'malas', 'pasar', 'pesan', 'rumah', 'ajasemua', 'kebth', 'tersedialengkapcepatmurah', 'freshhhh']"
1247,5,positive,"['terima', 'kasih', 'barang', 'kirim', 'sesuai', 'pesan', 'semuanta', 'masih', 'fresh', 'segar']"
1248,5,positive,"['promo', 'barang', 'lengkap', 'harga', 'sahabat', 'kirim', 'pas']"
1249,5,positive,"['belanja', 'komplit', 'segar', 'mantabbb', 'terimakasih', 'segar']"
1250,5,positive,"['mantappengiriman', 'cepat', 'emas', 'juga', 'rapihkurir', 'juga', 'ramahtrims', 'hari']"
1251,5,positive,"['bantu', 'terima', 'kasih']"
1252,5,positive,"['pakai', 'aplikasi', 'bingung', 'belanja', 'butuh', 'dapur', 'tkng', 'sayur', 'libur', 'jual', 'karena', 'pada', 'mudik', 'dan', 'pasar', 'karena', 'baby', 'ahir', 'coba', 'belanja', 'aplikasi', 'segar', 'benar', 'dtng', 'sayur', 'segar', 'benar', 'bantu', 'banget', 'deh', 'aplikasi', 'repot', 'bisa', 'belanja', 'pasar', 'terimakasih', 'segar', 'banyak', 'lagi', 'promo']"
1253,5,positive,[]
1254,5,positive,"['murah', 'cepat']"
1255,5,positive,"['puas', 'bareng', 'bagus']"
1256,5,positive,"['puas', 'banget', 'bagus']"
1257,5,positive,"['seru', 'belanja', 'supermarket', 'aktivitas']"
1258,5,positive,"['terima kasih', 'segar']"
1259,5,positive,"['rapi', 'emas', 'ykulir', 'ramahmantapksh', 'bintang']"
1260,5,positive,"['mantul', 'layan']"
1261,5,positive,['good']
1262,5,positive,['matapp']
1263,5,positive,"['buahsayurdan', 'butuh', 'segar', 'kadang', 'suka', 'kirim', 'nyatapi', 'maklum', 'karena', 'segar', 'ramai']"
1264,5,positive,"['puas', 'blanja', 'segaripenjualnya', 'terorganisirmiring', 'harga', 'banyak', 'promo']"
1265,5,positive,"['segar', 'buah', 'sayur', 'kirim', 'juga', 'cepat']"
1266,2,negative,"['oke', 'belanja']"
1267,5,positive,['johg']
1268,5,positive,"['suka', 'banget', 'belanja', 'segar']"
1269,5,positive,"['good', 'job']"
1270,5,positive,"['mantap', 'bohong', 'gratis', 'ongkir']"
1271,5,positive,['good']
1272,5,positive,"['barang', 'beli', 'fresh', 'packingnya', 'rapi', 'cepat', 'harga', 'murah', 'muas', 'rekomendasi', 'belanja', 'mager']"
1273,5,positive,"['sok', 'far', 'produk', 'fresh', 'kualitas', 'bagus', 'harga', 'relatif', 'mahal', 'kurir', 'sopan', 'free', 'ongkir']"
1274,5,positive,"['senang', 'belanja', 'segar']"
1275,5,positive,"['good', 'sesuai', 'pesan']"
1276,5,positive,"['layan', 'kualitas', 'baik', 'puas']"
1277,5,positive,"['produk', 'segar', 'nyabenar', 'segar', 'sampai', 'tempatdagingbuahsayurmaknyus']"
1278,4,positive,"['segar', 'oke']"
1279,5,positive,[]
1280,5,positive,"['bantu', 'butuh', 'dapur', 'kirim', 'cepat', 'kurir', 'ramah', 'mantull', 'deh', 'segar']"
1281,5,positive,['nice']
1282,4,positive,"['lumayan', 'sih', 'promonya', 'cuman', 'beli', 'segar', 'frozen', 'daging', 'karena', 'fresh', 'enak', 'terus', 'beli', 'daun', 'kemangi', 'segar', 'layu', 'begitu', 'tapi', 'overall', 'siii']"
1283,5,positive,"['alhamdulillah', 'kecewa', 'lagi', 'promo', 'lebih', 'semangat', 'blanjay']"
1284,4,positive,"['aplikasi', 'mudah', 'digunakanbuahnya', 'bagus']"
1285,5,positive,"['belanja', 'mudah', 'gampang']"
1286,5,positive,"['puas', 'barang', 'fresh', 'kurir', 'ramah']"
1287,5,positive,"['belanja', 'segar', 'mudah', 'cepat', 'kirim', 'terimakasih', 'aplikasi', 'segar']"
1288,5,positive,['top']
1289,5,positive,"['segar', 'solusi', 'pintar', 'anak', 'repot', 'pasarduduk', 'manis', 'rumah', 'tukang', 'paket', 'anter', 'pesan', 'pintu', 'gratis', 'ongkir']"
1290,5,positive,"['barang', 'bagus']"
1291,1,negative,"['kirim', 'lambat', 'sesuai', 'tentu', 'admint', 'segar', 'janji', 'bahwa', 'packing', 'jalan', 'lambat', 'jam', 'masak']"
1292,5,positive,['cepat']
1293,5,positive,['good']
1294,5,positive,['promo']
1295,5,positive,['puas']
1296,4,positive,"['kali', 'belanja', 'alhamdulillah', 'barang', 'fresh', 'harga', 'jangkau', 'ada', 'promo', 'moga', 'sukses', 'hari']"
1297,5,positive,"['najiba', 'adila', 'aulia', 'syifaa']"
1298,5,positive,"['belanja', 'sok', 'far', 'still', 'ok']"
1299,5,positive,['mantap']
1300,5,positive,['bagus']
1301,5,positive,"['voucer', 'diskon', 'bos']"
1302,5,positive,"['ok', 'keren', 'produk']"
